Well,Omit,sample_id_old,Target,Dye,Task,Cq,Quantity,plate_id,study,template_vol,elution_vol,,,,,,,,,,,
E4,FALSE,AR_5_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E5,FALSE,AR_5_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E6,FALSE,AR_5_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E7,FALSE,bf_5_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E8,FALSE,bf_5_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E9,FALSE,bf_5_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E10,FALSE,bf_5_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E11,FALSE,bf_5_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
E12,FALSE,bf_5_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F1,FALSE,1.00E+04,Ps,FAM,Standard,25.84736859,10000,Ps_samples_1,,1,100,,,,,,,,,,,
F2,FALSE,1.00E+04,Ps,FAM,Standard,25.40729419,10000,Ps_samples_1,,1,100,,,,,,,,,,,
F3,FALSE,1.00E+04,Ps,FAM,Standard,25.48914565,10000,Ps_samples_1,,1,100,,,,,,,,,,,
F4,FALSE,tapres_tapres_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F5,FALSE,tapres_tapres_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F6,FALSE,tapres_tapres_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F7,FALSE,bf_manifold_control_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F8,FALSE,bf_manifold_control_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F9,FALSE,bf_manifold_control_40,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F10,FALSE,bf_slide_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F11,FALSE,bf_slide_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
F12,FALSE,bf_slide_control_41,Ps,FAM,Unknown,Undetermined,,Ps_samples_1,AR,1,100,,,,,,,,,,,
G1,FALSE,1.00E+05,Ps,FAM,Standard,22.83107988,100000,Ps_samples_1,,1,100,,,,,,,,,,,
G2,FALSE,1.00E+05,Ps,FAM,Standard,21.97732409,100000,Ps_samples_1,,1,100,,,,,,,,,,,
G3,FALSE,1.00E+05,Ps,FAM,Standard,22.17337259,100000,Ps_samples_1,,1,100,,,,,,,,,,,
