file_name,AR,date,control_or_sample,replicate,micr_replicate,,,,,,,,,,,,,,,,,
101920_syto_sypro_conA_blank_7.czi,control,101920,discard,A,7,,,,,,,,,,,,,,,,,
101920_syto_sypro_conA_blank_8.czi,control,101920,discard,A,8,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_1_A.czi,1,102020,sample,A,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_1_C.czi,1,102020,sample,C,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_2_A.czi,1,102020,sample,A,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_2_C.czi,1,102020,sample,C,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_3_A.czi,1,102020,sample,A,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_3_C.czi,1,102020,sample,C,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_4_A.czi,1,102020,sample,A,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_4_C.czi,1,102020,sample,C,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_5_A.czi,1,102020,sample,A,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_5_C.czi,1,102020,sample,C,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_6_A.czi,1,102020,sample,A,6,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR1_6_C.czi,1,102020,sample,C,6,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR2_1_A.czi,2,102020,sample,A,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR2_2_A.czi,2,102020,sample,A,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR2_3_A.czi,2,102020,sample,A,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR2_4_A.czi,2,102020,sample,A,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR2_5_A.czi,2,102020,sample,A,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR2_6_A.czi,2,102020,sample,A,6,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_1_A.czi,3,102020,sample,A,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_1_B.czi,3,102020,sample,B,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_1_C.czi,3,102020,sample,C,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_2_A.czi,3,102020,sample,A,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_2_B.czi,3,102020,sample,B,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_2_C.czi,3,102020,sample,C,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_3_A.czi,3,102020,sample,A,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_3_B.czi,3,102020,sample,B,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_3_C.czi,3,102020,sample,C,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_4_A.czi,3,102020,sample,A,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_4_B.czi,3,102020,sample,B,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_4_C.czi,3,102020,sample,C,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_5_A.czi,3,102020,sample,A,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_5_B.czi,3,102020,sample,B,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_5_C.czi,3,102020,sample,C,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_6_A.czi,3,102020,sample,A,6,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_6_B.czi,3,102020,sample,B,6,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR3_6_C.czi,3,102020,sample,C,6,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR4_1_A.czi,4,102020,sample,A,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR4_2_A.czi,4,102020,sample,A,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR4_3_A.czi,4,102020,sample,A,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR4_4_A.czi,4,102020,sample,A,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR4_5_A.czi,4,102020,sample,A,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR4_6_A.czi,4,102020,sample,A,6,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR5_1_A.czi,5,102020,sample,A,1,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR5_2_A.czi,5,102020,sample,A,2,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR5_3_A.czi,5,102020,sample,A,3,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR5_4_A.czi,5,102020,sample,A,4,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR5_5_A.czi,5,102020,sample,A,5,,,,,,,,,,,,,,,,,
102020_syto_sypro_conA_AR5_6_A.czi,5,102020,sample,A,6,,,,,,,,,,,,,,,,,
121520_control_conA_1.czi,control,121520,discard,A,1,,,,,,,,,,,,,,,,,
121520_control_conA_2.czi,control,121520,discard,A,2,,,,,,,,,,,,,,,,,
121520_control_conA_3.czi,control,121520,discard,A,3,,,,,,,,,,,,,,,,,
121520_control_conA_4.czi,control,121520,discard,A,4,,,,,,,,,,,,,,,,,
121520_control_conA_5.czi,control,121520,discard,A,5,,,,,,,,,,,,,,,,,
121520_control_nodye_1.czi,control,121520,discard,A,1,,,,,,,,,,,,,,,,,
121520_control_nodye_2.czi,control,121520,discard,A,2,,,,,,,,,,,,,,,,,
121520_control_sypro_1.czi,control,121520,discard,A,1,,,,,,,,,,,,,,,,,
121520_control_sypro_2.czi,control,121520,discard,A,2,,,,,,,,,,,,,,,,,
121520_control_sypro_3.czi,control,121520,discard,A,3,,,,,,,,,,,,,,,,,
121520_control_sypro_4.czi,control,121520,discard,A,4,,,,,,,,,,,,,,,,,
121520_control_sypro_5.czi,control,121520,discard,A,5,,,,,,,,,,,,,,,,,
121520_control_sypro_6.czi,control,121520,discard,A,6,,,,,,,,,,,,,,,,,
121520_control_syto_1.czi,control,121520,discard,A,1,,,,,,,,,,,,,,,,,
121520_control_syto_2.czi,control,121520,discard,A,2,,,,,,,,,,,,,,,,,
121520_control_syto_3.czi,control,121520,discard,A,3,,,,,,,,,,,,,,,,,
121520_control_syto_4.czi,control,121520,discard,A,4,,,,,,,,,,,,,,,,,
121520_control_syto_5.czi,control,121520,discard,A,5,,,,,,,,,,,,,,,,,
